'ExactNN.relu_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.relu_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.le_relu' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.relu_of_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.relu_of_nonpos' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.relu_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.relu_sub_relu_neg' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.relu_eq_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.relu_target_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.affine_scale' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.affine_shift' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.common_implies_mixed' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.exactFit_mono' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.exactFit_constant' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.exactFit_zero_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.exactFit_no_conflict' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.gram_kernel_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.linear_infeasible_of_certificate' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.firstResolved_sound' depends on axioms: [propext, Quot.sound]
'ExactNN.oneFit_iff_positive_or_negative' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.relu_shift' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.positiveFit_iff_lp_at_min' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.oneFit_iff_twoLP' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.vectorOneFit_coordinate' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.vectorOneFit_collinear' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.vectorOneFit_of_coordinate' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.vectorOneFit_iff_collinear_coordinate' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.vectorOneFit_constant' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.collinear_direction_ratio' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.univariate_hinge_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.univariate_term_decomposition' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.mixedFit_iff_shallow_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.exactFit_dim_one_iff_mixed' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.hinge_reflection' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.hinge_orientation' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.secant_left_eq_right_sub_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.curvature_orientation_invariant' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.common_left_iff_reflected_right' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.pair_reconstruction' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.merge_hinges_outside_gap' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.samples_eq_of_differences' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.helper_count_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.unique_helpers_at_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.residue_eq_iff_of_abs_sub_lt' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.cardinality_window' depends on axioms: [propext, Quot.sound]
'ExactNN.cardinality_residue_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.Shallow.eval_pad' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.exactFit_iff_slots' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.exactFit_one_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.signCoeff_cases' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.normalize_term' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.Shallow.eval_normalize' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.exactFit_iff_sharedComplementarity' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.binary_product_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.bigM_relu_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.Expr.eval_substitute' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.coupled_feasibility' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.Shallow.eval_reindex' depends on axioms: [propext, Classical.choice, Quot.sound]
'ExactNN.exactFit_resample' depends on axioms: [propext, Classical.choice, Quot.sound]
